Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
8,EX4 AS1F,47,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX5 AS4F,48,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX5 AS4F,49,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
9,EX1 Original,50,Doublesided,Wright  ,2017,Cortex,Electrophysiological responses to symmetry presented in the left or in the right visual hemifield,"Wright, D., Makin, A. D. and Bertamini, M.",10.1016/j.cortex.2016.11.001
9,EX1 Original,51,Doublesided,Wright  ,2017,Cortex,Electrophysiological responses to symmetry presented in the left or in the right visual hemifield,"Wright, D., Makin, A. D. and Bertamini, M.",10.1016/j.cortex.2016.11.001
9,EX2 One Sided,52,Doublesided,Wright  ,2017,Cortex,Electrophysiological responses to symmetry presented in the left or in the right visual hemifield,"Wright, D., Makin, A. D. and Bertamini, M.",10.1016/j.cortex.2016.11.001
9,EX2 One Sided,53,Doublesided,Wright  ,2017,Cortex,Electrophysiological responses to symmetry presented in the left or in the right visual hemifield,"Wright, D., Makin, A. D. and Bertamini, M.",10.1016/j.cortex.2016.11.001
9,EX3 Matched,54,Doublesided,Wright  ,2017,Cortex,Electrophysiological responses to symmetry presented in the left or in the right visual hemifield,"Wright, D., Makin, A. D. and Bertamini, M.",10.1016/j.cortex.2016.11.001
9,EX3 Matched,55,Doublesided,Wright  ,2017,Cortex,Electrophysiological responses to symmetry presented in the left or in the right visual hemifield,"Wright, D., Makin, A. D. and Bertamini, M.",10.1016/j.cortex.2016.11.001
10,EX1 Vertical,56,Sliding occluder,Rampone  ,2019,Neuroimage,Representation of symmetry in the extrastriate visual cortex from temporal integration of parts: An EEG/ERP study,"Rampone, G., Makin, A. D. J., Tatlidil, S. and Bertamini, M.",10.1016/j.neuroimage.2019.03.007
